stock,sector
HD,Consumer Discretionary
IBM,Technology
INTC,Technology
JNJ,Health Care
JPM,Financials
MDC,Consumer Discretionary
MRK,Healthcare
MSFT,Technology
NKE,Consumer Cyclical
PFE,Healthcare
PG,Consumer Staples
TRV,Financial
UTX,Aerospace and Defense
UNH,Healthcare
VZ,Communication Services
WMT,Consumer Staples
GOOGL,Technology
AMZN,Technology
AABA,Financials
XOM,Energy
CSCO,Technology
DIS,Consumer Discretionary
CVX,Energy
GE,Industrials
MMM,Industrials
MCD,Consumer Discretionary
AXP,Financials
BA,Industrials
